"","gsector","datadate","Mkt.Cap"
"1",10,20151231,9148979930850
"2",10,20160104,9017802309340
"3",10,20160105,8988114191230
"4",10,20160106,8725696702810
"5",10,20160107,8437270671380
"6",10,20160108,8329381880970
"7",10,20160111,8199020720510
"8",10,20160112,8139604335390
"9",10,20160113,8074517350930
"10",10,20160114,8363914040490
"11",10,20160115,7879984992490
"12",10,20160119,7882994082030
"13",10,20160120,7595746344590
"14",10,20160121,7837271393410
"15",10,20160122,8265156303950
"16",10,20160125,8027174810930
"17",10,20160126,8188007683940
"18",10,20160127,8226705157900
"19",10,20160128,8400606988800
"20",10,20160129,8804127475140
"21",10,20160201,8457442190080
"22",10,20160202,8168629994020
"23",10,20160203,8516332454060
"24",10,20160204,8536148021060
"25",10,20160205,8553590480030
"26",10,20160208,8362784703730
"27",10,20160209,8211821882780
"28",10,20160210,8241559269620
"29",10,20160211,8181978919260
"30",10,20160212,8611297347330
"31",10,20160216,8710450090480
"32",10,20160217,9074927466160
"33",10,20160218,8995094132570
"34",10,20160219,8949704837740
"35",10,20160222,9285504452420
"36",10,20160223,8947802807830
"37",10,20160224,8954560260770
"38",10,20160225,8934074466760
"39",10,20160226,9096798475700
"40",10,20160229,9033415566700
"41",10,20160301,9407387777570
"42",10,20160302,9734251815660
"43",10,20160303,9785256548780
"44",10,20160304,10179917527980
"45",10,20160307,10281430061130
"46",10,20160308,9828822268100
"47",10,20160309,9938634427380
"48",10,20160310,9840770945310
"49",10,20160311,10214633500000
"50",10,20160314,9915240730690
"51",10,20160315,9802945947580
"52",10,20160316,9961910243450
"53",10,20160317,10155124506470
"54",10,20160318,10059650405540
"55",10,20160321,9969711863210
"56",10,20160322,9905361059280
"57",10,20160323,9730098832720
"58",10,20160324,9780634190950
"59",10,20160328,9864516486180
"60",10,20160329,9884732401250
"61",10,20160330,9990364833730
"62",10,20160331,9956360539420
"63",10,20160401,9771983243750
"64",10,20160404,9597776912210
"65",10,20160405,9464762095380
"66",10,20160406,9733063960830
"67",10,20160407,9508834199910
"68",10,20160408,9824988246480
"69",10,20160411,9977355245180
"70",10,20160412,10287855518420
"71",10,20160413,10589602986850
"72",10,20160414,10564016975590
"73",10,20160415,10358932137390
"74",10,20160418,10556775683190
"75",10,20160419,10778110295690
"76",10,20160420,10751332374670
"77",10,20160421,10823397685430
"78",10,20160422,10884907332750
"79",10,20160425,10782204924380
"80",10,20160426,10996162601000
"81",10,20160427,11115860741880
"82",10,20160428,10882910099160
"83",10,20160429,10727496326890
"84",10,20160502,10685185711650
"85",10,20160503,10363469666890
"86",10,20160504,10171728763100
"87",10,20160505,10239718589420
"88",10,20160506,10180199882090
"89",10,20160509,9917064567300
"90",10,20160510,10239723316550
"91",10,20160511,10205606181120
"92",10,20160512,10157584841990
"93",10,20160513,9925915652530
"94",10,20160516,10233441676340
"95",10,20160517,10291669805710
"96",10,20160518,10134905126650
"97",10,20160519,10039569375300
"98",10,20160520,10102610762590
"99",10,20160523,9998583648420
"100",10,20160524,10066858391850
"101",10,20160525,10347684769590
"102",10,20160526,10345044085770
"103",10,20160527,10369547923130
"104",10,20160531,10265930857310
"105",10,20160601,10404353598280
"106",10,20160602,10497516296580
"107",10,20160603,10467880827330
"108",10,20160606,10534727278890
"109",10,20160607,10782854932690
"110",10,20160608,10897266202060
"111",10,20160609,10785528631120
"112",10,20160610,10472051523340
"113",10,20160613,10386316026230
"114",10,20160614,10322502409730
"115",10,20160615,10337087545190
"116",10,20160616,10169629869040
"117",10,20160617,10227644473330
"118",10,20160620,10450616103230
"119",10,20160621,10630827971610
"120",10,20160622,10629263160350
"121",10,20160623,10926425526580
"122",10,20160624,10228994127660
"123",10,20160627,9953524472930
"124",10,20160628,10341478436310
"125",10,20160629,10621942340130
"126",10,20160630,10742281899360
"127",10,20160701,10852625335920
"128",10,20160705,10511834600290
"129",10,20160706,10604937670100
"130",10,20160707,10450104856620
"131",10,20160708,10700063343670
"132",10,20160711,10781915141530
"133",10,20160712,11006105599490
"134",10,20160713,10844923446430
"135",10,20160714,11026954859520
"136",10,20160715,10979856043600
"137",10,20160718,11039051022700
"138",10,20160719,10862543446340
"139",10,20160720,10994317866120
"140",10,20160721,10852999507880
"141",10,20160722,10910170577560
"142",10,20160725,10744239498200
"143",10,20160726,10778204211410
"144",10,20160727,10686117686700
"145",10,20160728,10367685618720
"146",10,20160729,10481182411120
"147",10,20160801,10166810108930
"148",10,20160802,10125942744110
"149",10,20160803,10249571293070
"150",10,20160804,10324820113200
"151",10,20160805,10390747232790
"152",10,20160808,10376848615240
"153",10,20160809,10489764627140
"154",10,20160810,10386990281240
"155",10,20160811,10558554530950
"156",10,20160812,10656198157830
"157",10,20160815,10811236493940
"158",10,20160816,10822835053490
"159",10,20160817,10814648518930
"160",10,20160818,10868262229670
"161",10,20160819,10782138200410
"162",10,20160822,10588574801950
"163",10,20160823,10664936703920
"164",10,20160824,10518807881800
"165",10,20160825,10583324600450
"166",10,20160826,10617898592900
"167",10,20160829,10603463544550
"168",10,20160830,10566923846640
"169",10,20160831,10410466908650
"170",10,20160901,10415081130620
"171",10,20160902,10660882824490
"172",10,20160906,10716881992410
"173",10,20160907,10705866272220
"174",10,20160908,10834958710940
"175",10,20160909,10437080938970
"176",10,20160912,10587233839870
"177",10,20160913,10255630190390
"178",10,20160914,10185531054300
"179",10,20160915,10320175909770
"180",10,20160916,10250685664070
"181",10,20160919,10203777552330
"182",10,20160920,10169971257720
"183",10,20160921,10446172792820
"184",10,20160922,10475119612230
"185",10,20160923,10287919340740
"186",10,20160926,10180716403390
"187",10,20160927,10221996009490
"188",10,20160928,10573927311970
"189",10,20160929,10663165790760
"190",10,20160930,10811590668590
"191",10,20161003,10818193440670
"192",10,20161004,10712543709810
"193",10,20161005,11173494301230
"194",10,20161006,11468239356970
"195",10,20161007,11262820501410
"196",10,20161010,11517834371870
"197",10,20161011,11267621599390
"198",10,20161012,11267413199750
"199",10,20161013,11160071906160
"200",10,20161014,11228873451200
"201",10,20161017,11135113714430
"202",10,20161018,11308232765070
"203",10,20161019,11401691058560
"204",10,20161020,11543007738020
"205",10,20161021,11490440336450
"206",10,20161024,11535403482530
"207",10,20161025,11451030690640
"208",10,20161026,11124055462770
"209",10,20161027,11133889187440
"210",10,20161028,10898511404510
"211",10,20161031,10775377525930
"212",10,20161101,10877282147370
"213",10,20161102,10717954783680
"214",10,20161103,10686017799050
"215",10,20161104,10595811900190
"216",10,20161107,10969127759600
"217",10,20161108,10893694560080
"218",10,20161109,10774148978640
"219",10,20161110,10578956707690
"220",10,20161111,10384528677900
"221",10,20161114,10398897640320
"222",10,20161115,10631907226440
"223",10,20161116,10505182759610
"224",10,20161117,10487487746880
"225",10,20161118,10591780217990
"226",10,20161121,10761702673820
"227",10,20161122,11012140179320
"228",10,20161123,10910629575770
"229",10,20161125,10821733274240
"230",10,20161128,10771612261030
"231",10,20161129,10644377332950
"232",10,20161130,11141917890960
"233",10,20161201,11244111295590
"234",10,20161202,11191826534670
"235",10,20161205,11103671569510
"236",10,20161206,11100269414420
"237",10,20161207,11214289102900
"238",10,20161208,11248448530300
"239",10,20161209,11184923654690
"240",10,20161212,11137516457080
"241",10,20161213,11590578831930
"242",10,20161214,11300964334050
"243",10,20161215,11257087469090
"244",10,20161216,11255765630840
"245",10,20161219,11181446388150
"246",10,20161220,11164072734570
"247",10,20161221,11093334806580
"248",10,20161222,11013181436170
"249",10,20161223,10883004545300
"250",10,20161227,10954269729940
"251",10,20161228,10950088438410
"252",10,20161229,10921526548010
"253",10,20161230,10908424124780
"254",10,20170103,11063119035170
"255",10,20170104,11140444287450
"256",10,20170105,11354441140450
"257",10,20170106,11289385272090
"258",10,20170109,11184083864390
"259",10,20170110,11265554945520
"260",10,20170111,11413778406690
"261",10,20170112,11344361487550
"262",10,20170113,11460895621150
"263",10,20170117,11481255943480
"264",10,20170118,11453550041630
"265",10,20170119,11388011388170
"266",10,20170120,11358237404740
"267",10,20170123,11300029177060
