"","Date","Sec_10","Sec_15","Sec_20","Sec_25","Sec_30","Sec_35","Sec_40","Sec_45","Sec_50","Sec_55","Sec_60"
"1",20151231,9148979930850,373113882800,1379579452040,1953294374575,1156228568670,2243907202600,2298340594750,3103247122785,2645473300170,205319189150,338892324510
"2",20160104,9017802309340,366511832262.5,1358637029180,1897744921220,1142470047520,2210139148080,2243950282012.1,3052122458200,2593824738960,205335002210,334718942960
"3",20160105,8988114191230,365039917480,1362099730180,1902614489640,1150721593220,2222402649370,2239883989110,3032900425970,2575720754550,206971154660,341492506360
"4",20160106,8725696702810,348287376570,1338699872050,1869293755160,1144820761470,2201439230600,2184933856530,2983064896050,2543592352730,207211422450,340594124430
"5",20160107,8437270671380,332788742290,1299214065050,1807975786270,1138907787600,2160002818010,2122541194930,2902668034090,2483215535930,206307358930,334971307100
"6",20160108,8329381880970,326722930560,1286054701100,1781681638235,1124384948870,2135542536730,2096041189770.8,2877466256340,2474242770200,206678444820,331043906284.2
"7",20160111,8199020720510,321718611720,1288025721300,1800152284764,1136421138370,2123920364180,2105237505677.8,2905274429990,2485098986880,207766223640,333576569615.5
"8",20160112,8139604335390,316079008925,1298177594140,1821682117065,1137821306350,2146150136640,2118031744490,2927316384300,2501942954000,206520195170,332535966530
"9",20160113,8074517350930,310326744230,1268728574480,1765730991490,1120699689280,2099560342810,2068241709140,2861248376450,2458083379190,206487914560,328551469754
"10",20160114,8363914040490,324170724880,1288095254570,1785577520710,1125663053140,2147000083570,2089458044776.4,2942757581960,2497543281480,208478116900,329168847810
"11",20160115,7879984992490,308092334035,1261491982130,1739516577282.5,1109562988580,2111153833430,2001622961044.8,2842994837140,2425724093840,207223620070,325330978160
"12",20160119,7882994082030,306436842095,1263619942660,1759693552730,1129208094640,2121330606860,2000478926750,2853847214270,2478201095620,210614032820,327773282860.3
"13",20160120,7595746344590,299489583450,1243374413760,1723805069580,1107340087360,2111868069170,1943746026770,2822619724640,2434872940850,206068653420,317071954750
"14",20160121,7837271393410,312174869500.8,1251266629190,1744336389370,1116531449760,2109324075200,1942326972636,2833372967530,2467609006280,205844670630,318833670490
"15",20160122,8265156303950,317586197340,1259033139310,1784460718740,1136032221920,2146973239600,1985979348347.9,2913359618110,2542989896870,209121226130,326904817120
"16",20160125,8027174810930,309587842245,1243265923130,1764426273940,1137866584380,2132061938000,1930746366440,2880103725590,2513662224800,207894032810,325321953310
"17",20160126,8188007683940,320678456120,1264642649070,1778170196750,1148897953610,2160612396830,1967771228283.4,2895548868190,2535604314130,209140863500,332386046660
"18",20160127,8226705157900,315722541610,1250403218830,1756762473090,1147023999300,2137672195100,1969012716725.1,2836791131300,2510722292020,209591629520,325487398720
"19",20160128,8400606988800,319831720960,1262441255080,1781259099990,1157389290500,2102239013860,1984720213719,2840018917510,2570728500300,212965199100,323323200010
"20",20160129,8804127475140,324918102386.2,1296922054840,1800910121590,1182721733240,2135017361790,2046205244620,2948691546610,2615739477130,217900084900,327745957918.6
"21",20160201,8457442190080,325403123020,1291875693650,1803661260810,1185391628850,2133860235210,2024219165545.6,2960758389590,2633044704770,219756591500,330111014620.3
"22",20160202,8168629994020,314685260315,1270675604540,1766909479730,1173750380590,2107367483130,1950820586320.5,2899435945300,2611282310450,219723485050,327381098051.5
"23",20160203,8516332454060,329676846966.8,1291451064690,1721407501080,1176561078110,2116322050740,1952863192397.2,2921836231210,2632998258400,221713780590,329504989480
"24",20160204,8536148021060,347041525610,1310648657460,1720236414890,1166349411340,2090500313870,1978537307882.9,2944173726820,2599999576470,222113685060,329069908309.7
"25",20160205,8553590480030,341448098530,1297015558610,1650746637300,1162754065760,2058782761650,1957337128906.8,2856076745760,2554801352670,223262143960,321132669514
"26",20160208,8362784703730,338033290050,1286956473230,1617480539070,1162299242210,2029545735750,1884120885804.4,2828841926060,2528954020550,222725488600,312150316140.3
"27",20160209,8211821882780,332662215382.5,1294506101890,1609738100830,1164518788370,2036475266800,1871181930005.9,2815507147290,2503880191890,223623678000,307053618050.3
"28",20160210,8241559269620,330102124415.9,1288581157420,1621139560550,1156126799860,2048138928970,1866636973072.7,2806502243350,2505795404540,221496395260,309916357355
"29",20160211,8181978919260,321176235180,1253576540240,1609694807200,1143801756430,2027271227460,1793381875467,2795569551830,2498030203760,217305622490,306779999354.9
"30",20160212,8611297347330,337659132325,1274801810690,1631354065170,1157288504360,2049048695651,1878800815842.6,2836380293570,2523459209700,216663800740,310048109494.9
"31",20160216,8710450090480,342032243140,1298681782900,1686709660860,1163085221080,2081976897670,1908572849085,2910547408250,2543069321880,217815720060,315092242660
"32",20160217,9074927466160,353697082100,1320505117480,1714427994360,1172162359560,2092003751440,1942428016490,2970617791260,2583608896570,217044624910,318485251830
"33",20160218,8995094132570,350487440265,1317970498560,1703191886310,1163646922960,2085039943280,1917073494257,2962735413150,2571056309420,220136642770,321389672383.6
"34",20160219,8949704837740,348527593410,1315437457810,1707075027490,1166595681690,2084979848430,1910569656400,2960312372080,2576999720160,218523102640,323891342833.6
"35",20160222,9285504452420,363638423370,1334410419220,1743001661490,1173900339700,2100820132920,1920660916586.4,2994928647870,2617719909200,220826890410,326527619000
"36",20160223,8947802807830,348554705150,1320674810530,1724129837030,1171142245960,2085509952945,1871635884140,2936117349440,2577763208610,220623086670,325929740490.3
"37",20160224,8954560260770,336212092577.5,1320641571430,1722781254590,1171674294750,2084218501250,1856981274447.4,2951517720380,2584354281520,221272266230,325328333970
"38",20160225,8934074466760,337740588043.9,1334079767720,1733994089150,1178105147480,2106599969820,1883673130770,2992844411290,2600164657210.4,223144986720,330927548447.9
"39",20160226,9096798475700,338163268440,1334235970480,1733099036060,1156981927000,2095164875130,1913644604900,2982427406170,2593942231010.4,217611122270,329125226770
"40",20160229,9033415566700,339316583946,1321928944080,1726469443150,1151105334650,2065865858910,1894114250600,2961904031430,2567126063630,217707824570,331213002726.5
"41",20160301,9407387777570,350469222540,1347020546530,1772937641670,1165631032910,2106558392160,1959640738788.7,3065456928150,2627365373390,216652863330,336898023870
"42",20160302,9734251815660,364440522390,1348768007300,1777796366450,1165415650160,2110666350282.6,1972695875500,3071712916170,2644063964140,216984545090,338945945276.9
"43",20160303,9785256548780,371438525769.3,1355972892050,1783991322095,1172307685840,2100367744380,1983467853985.4,3069351973150,2640566416860,218744039140,339513294210
"44",20160304,10179917527980,389741487680,1364060586660,1793093427935,1183807806090,2105901227810,1998541213160,3082933970350,2651556963190,221587055990,339508368700
"45",20160307,10281430061130,401092257550,1365304327630,1780683544280,1182667910120,2117086103590,1995754430933.4,3070722217200,2614043340460,223149413210,339413140240
"46",20160308,9828822268100,375760129090,1350216338660,1775510045465,1184711656710,2105638585050,1964066637510,3052801805280,2604940786730,225498026080,337281272290
"47",20160309,9938634427380,377002490200,1353316934560,1781757333140,1189617562760,2109816214170,1977223871000,3076673440620,2623316982150,226582034270,338952996780
"48",20160310,9840770945310,374617725575,1350407882750,1786078943420,1192627879990,2115349454830,1973560201483.1,3070074306910,2617713250920,226641364150,338291867864.6
"49",20160311,10214633500000,382714489945,1368626393330,1822801923655,1193041710430,2147999857220,2024692758857.1,3127287801210,2662140339480,227348148360,345976816390
"50",20160314,9915240730690,377935318687.5,1366430631920,1827890372585,1190180990710,2144178094890,2014356484963.1,3122910978390,2664364795100,227473856960,345011458840
"51",20160315,9802945947580,363112207590,1364400000920,1822069623245,1192684786720,2119684189520,2003441637660,3130748991740,2663512853880,228187043820,346074550470
"52",20160316,9961910243450,373360231267.5,1373106900840,1837240814910,1193345159800,2119268654300,2010261892839.4,3183229056730,2696298156160,230423732100,349001781710
"53",20160317,10155124506470,387808714112.5,1402638461770,1837387647883.8,1205179032660,2113977377750,2024793566240,3198638535140,2673441677730,232596607640,354117610493.3
"54",20160318,10059650405540,388205784420.5,1410711263710,1838662471873.8,1206969182670,2123232169720,2044468415630,3209693600510,2668361843905,231685241860,353297970196
"55",20160321,9969711863210,386234875080,1412111130500,1848049199732.4,1210139315260,2130533047020,2044237118630,3210334029940,2665970891175,231036288730,350163026536
"56",20160322,9905361059280,382823634830,1407380932160,1852900025292.4,1206731700780,2142698775640,2027333495490,3210653771480,2657265131725,229870912330,350163152958.8
"57",20160323,9730098832720,373465298900,1400319534630,1838523548662.4,1206961023620,2132283264710,2001872235874.3,3190958850250,2639451925515,231268231460,349545004098.8
"58",20160324,9780634190950,373392602360,1396535554170,1831646950632.4,1208810679370,2125336372110,1981747398909.8,3197440340320,2657273702435,232290852090,349430186700
"59",20160328,9864516486180,376169699641,1398891105780,1837746400320,1211026165100,2122480738980,1987734009930,3184021225850,2659804359145,231098967910,353015404430.3
"60",20160329,9884732401250,374131329164,1405053445600,1856060196520,1221645789440,2140148768840,1989764193956.2,3231206208910,2691348125370,234395279150,359376581990
"61",20160330,9990364833730,383039296283.2,1413407831580,1863322058850,1228963629000,2145749778920,2011349921196.7,3269466988230,2691143354360,233933509520,357946220330
"62",20160331,9956360539420,378986674896.9,1406269892280,1854435728139.2,1217821877580,2139726723743,2001793965102,3259479000330,2699726015793.4,235178913490,360047286170
"63",20160401,9771983243750,377979938505,1408466505870,1846534577600,1230785654410,2152361260510,2000449149767.1,3278895379010,2716857673573.4,235707569650,360910174300
"64",20160404,9597776912210,369882642005,1398047856210,1833169628830,1232529252920,2172804693670,1985572716970.9,3267376634400,2691981081203.4,234907845150,361074899930
"65",20160405,9464762095380,363843277715,1391603237170,1813356184580,1224547511980,2167678100208,1941537237488.6,3226846249070,2667250271293.4,230439545150,358071194220
"66",20160406,9733063960830,365244276406.4,1395365780060,1833081319010,1230727859590,2224715279500,1951329390920,3255667567230,2688834968613.4,229522677530,358584524608.4
"67",20160407,9508834199910,360780262708.8,1385984369450,1813078036150,1219230780780,2205160007740,1909141662920.1,3207607475810,2668676824823.4,229693893330,356637861870
"68",20160408,9824988246480,370270808650,1394322732110,1822909638290,1224470567480,2200826900410,1928231484397.7,3213107266490,2674944842843.4,230729787310,358401084430
"69",20160411,9977355245180,378983570265.1,1390554742640,1816408995770,1215447171490,2196203967130,1945168013515.3,3217855133480,2655834353003.4,229748565150,356392894249.6
"70",20160412,10287855518420,390664325764.7,1402697120750,1841137551630,1225674375820,2214151508630,1976700017997,3236404938250,2681629339433.4,231950694510,358628044882.5
"71",20160413,10589602986850,408781515595,1417612117360,1873528897610,1222059625160,2226011027560,2056318065760.9,3289890434370,2719758442290,230358922390,356058882470
"72",20160414,10564016975590,409678404180,1416841151330,1879185024000,1221882248920,2235889905300,2072147249951.9,3266593909450,2729881484910,230271579100,353227838853.5
"73",20160415,10358932137390,410499474020,1415815580590,1875790376640,1227537576820,2235142693420,2063395468600,3253516602780,2729614337740,231135936010,355567603258
"74",20160418,10556775683190,418308417230,1420870526610,1883201224230,1235569474440,2250518837575,2073780930699.9,3261466077380,2744987622860,231727613890,358311453999.7
"75",20160419,10778110295690,433789745320,1428966162570,1885090433250,1243621445210,2267208592170,2112244972380,3236562821960,2739187882760,231853549070,358055478160.6
"76",20160420,10751332374670,445596933280,1428106489160,1895793781790,1221329021700,2273476642910,2146933637990.9,3239001132730,2733282605060,226500527220,351974825840
"77",20160421,10823397685430,435215297408.3,1424792332940,1884069952090,1203136090180,2275781022440,2139610262662.9,3230569668720,2743259894400,221886729540,344738814380
"78",20160422,10884907332750,436626661822.5,1429210407790,1877766582170,1208619563340,2279532150330,2148300422550.6,3184903142460,2721007703780,224349359900,349106991941.1
"79",20160425,10782204924380,424395049790,1421178246110,1872731547050,1216751339930,2276635084420,2130569517325,3178369623350,2712168783380,224357444760,352198040881.1
"80",20160426,10996162601000,428909611690,1431071135440,1863692926280,1208287250100,2264316000240,2162256283000,3174103477940,2706531983860,225144263310,352143983010
"81",20160427,11115860741880,429820665138,1438364877900,1853357678480,1206271398330,2265988407360,2162275213878,3144961963990,2724922333010,228033574650,350503592220
"82",20160428,10882910099160,432387851055,1427394431080,1824523270570,1199134340150,2253616284910,2144298083500,3065683181700,2713810435010,228401363800,350824332970
"83",20160429,10727496326890,432176250975,1422527823520,1845048355620,1193091997200,2222575671560,2126405480050,3024794016870,2702006607580,229510282580,347964466630
"84",20160502,10685185711650,431139765455,1429177967620,1869269609760,1203333122770,2235596174700,2132658270177.6,3045001483340,2713672546440,230502518190,353601980570
"85",20160503,10363469666890,411948654050,1418028430090,1845129096140,1199245134820,2227879870426,2089424630857.2,3017483027750,2685623906000,230301167280,354133536095
"86",20160504,10171728763100,397065007600,1400526880320,1833556546260,1199483674700,2201865096940,2053506330107.4,3003308572120,2681822327720,233327113860,360094504610
"87",20160505,10239718589420,395524157197.5,1395415207230,1834014011280,1203411296170,2203300898140,2044910580640.2,3003131692470,2687362279880,233519442740,360046889370
"88",20160506,10180199882090,400449561000,1404415294070,1852818799650,1213037144380,2194466643290,2045280913542.9,3009416776750,2685614654350,231709142000,363214231920
"89",20160509,9917064567300,382536118255,1396408202770,1854222985930,1219771102520,2212462789460,2029028625127.9,3008492912660,2675645953820,232389732690,366836358428.9
"90",20160510,10239723316550,393032438672.5,1419957500380,1884960514850,1228763419300,2228924962600,2058189483349.5,3040208838580,2720443410050,233917168480,368162038490
"91",20160511,10205606181120,393424677160,1408562701490,1849593799160,1215080488740,2206788632764,2044110227585,3017582751500,2686312289890,234676147600,359671641170
"92",20160512,10157584841990,389352058200,1406905477670,1863810733250,1219328732790,2198103837770,2035826068455,2999075823750,2686894242070,236061829280,362936180172
