"","stock[, 1]","Sec_10R","Sec_15R","Sec_20R","Sec_25R","Sec_30R","Sec_35R","Sec_40R","Sec_45R","Sec_50R","Sec_55R","Sec_60R"
"2",20140103,-0.016977367,0.000848265,0.002624476,-0.003817357,-0.00207368,0.003301197,-0.00102723,-0.007526941,-0.009733957,-0.004497805,0.005815955
"3",20140106,-0.008532136,-0.009829268,-0.006049021,-0.004061863,-0.004219834,-3.91688e-05,0.002009494,-0.004988251,0.002650335,0.000752151,0.008063295
"4",20140107,-0.001087817,-0.008227546,0.003910974,0.005020688,0.007426999,0.006439355,0.006749914,0.005240622,0.007753788,0.009772005,0.00426018
"5",20140108,0.004647503,-0.00207796,-0.001628887,0.003132231,-0.008669715,-0.000191208,0.002732811,0.002308853,-0.006941751,-0.003642024,-0.002753218
"6",20140109,-0.010161763,-0.015584636,0.003799006,0.000235928,-0.00063949,0.006842092,-0.005411484,-0.007682401,-0.01019621,0.008652855,0.000345845
"7",20140110,0.002366305,0.00949659,0.001377533,0.001452701,0.001874392,0.001694121,0.00319644,0.002750348,0.009205478,0.014713312,0.012403318
"8",20140113,-0.010821146,-0.009424187,-0.010166949,-0.014133639,-0.010711906,-0.006276561,-0.012830623,-0.008705743,-0.01360492,-0.007814303,-0.006014329
"9",20140114,0.013399544,0.001456104,0.00847062,0.007339512,0.005372706,0.010407364,0.009453225,0.018632421,0.01320379,-0.00209512,0.008079265
"10",20140115,-0.002490729,0.004487271,0.007391661,0.000728635,0.000135335,0.004016466,0.010790856,0.013165276,0.002281393,-0.003674344,0.006617033
"11",20140116,-0.005253223,0.022656827,-0.004266033,0.000857213,0.0001894,0.004554625,-0.00834242,0.003698834,-0.001273615,0.005962732,0.001727759
"12",20140117,0.004365958,0.004424616,-0.005789656,-0.004001188,-0.01099333,-0.000684645,-0.000764459,-0.009503769,-0.002942757,-0.000894344,-0.004844736
"13",20140121,-0.020240237,-0.0055675,3.85332e-05,0.00486659,0.009382796,0.00534192,0.002512547,0.00142016,0.002307701,0.013763339,0.009097129
"14",20140122,-0.001083296,-0.003945737,0.001198707,0.001577834,-0.002890469,0.00020118,0.002190624,0.001459069,0.002317054,0.002251719,-0.000709513
"15",20140123,-0.024755327,-0.016219723,-0.0078371,-0.010511462,-0.009194121,-0.003715147,-0.018904442,-0.004296945,-0.007605234,-0.002760201,-0.005134087
"16",20140124,-0.01696005,-0.027571724,-0.028536519,-0.018967341,-0.013173508,-0.021887385,-0.023530677,-0.01603806,-0.020925064,-0.007773196,-0.011752907
"17",20140127,-0.008602496,0.00869697,0.003269049,-0.006312352,-0.003839106,-0.007289973,-0.01239737,-0.010854407,-0.005217634,0.002751075,-0.005060774
"18",20140128,0.00544263,0.009449842,0.007715188,0.006776298,0.004415464,0.009674374,0.007402655,-0.011555862,0.004563011,0.003815416,0.00748491
"19",20140129,-0.019583466,-0.002070103,-0.011031981,-0.014911543,-0.01790925,-0.012986271,-0.016093296,-0.007176395,-0.012592967,-0.000607254,-0.004276357
"20",20140130,0.004484368,0.007374381,0.008905069,0.0136701,0.001030787,0.012259005,0.009699054,0.008851371,0.016658012,0.016002805,0.01746065
"21",20140131,-0.009760269,-0.005722588,-0.004712586,-0.026192696,-0.006413054,-0.006676283,-0.012000034,-0.004506058,0.009286882,0.009291432,0.006233665
"22",20140203,-0.013130513,-0.021593672,-0.024602702,-0.023349977,-0.020463782,-0.013710873,-0.020663297,-0.016680759,-0.027449042,-0.004704058,-0.016759797
"23",20140204,0.004627088,0.01288994,0.00495947,0.003310312,0.005089422,0.00732166,0.011071212,0.002948188,0.009134348,-0.009732066,0.012524754
"24",20140205,-0.011496366,0.001375409,-0.000942899,0.007355264,0.002121366,0.000594119,-0.000746195,-0.002623306,-0.003100062,-0.004548283,1.4574e-05
"25",20140206,0.013620414,0.021106013,0.013519161,0.018413547,0.008732454,0.006424449,0.015154357,0.014698475,0.011528817,0.00647272,0.008101741
"26",20140207,0.015791259,0.010625763,0.01358646,0.014477444,0.009245912,0.015037181,0.006044295,0.012329629,0.008851438,0.005592335,0.009335058
"27",20140210,-0.008615512,-0.004091633,-0.005534937,-0.002601932,0.003153747,0.005066775,-0.004340855,0.005554041,-0.001036598,0.009915807,0.010767034
"28",20140211,0.048117941,0.027512127,0.013339847,0.007669857,0.010749965,0.014564113,0.02110183,0.010024839,0.015330607,0.007711744,0.004242898
"29",20140212,0.002275296,0.003403465,0.00065566,-0.002191112,-0.004920264,0.002249885,0.001464141,0.003049879,-0.005793224,-0.003140214,-0.002223558
"30",20140213,-0.00482138,0.004655844,0.001165761,0.001731998,0.002236411,0.005823563,0.004768454,0.006753809,0.001806292,0.012462934,0.005672137
"31",20140214,0.006101108,0.011846364,0.006377193,0.000610844,0.00747125,0.00715239,0.001319034,0.006489746,0.006245518,0.005164951,0.005049213
"32",20140218,-0.005692877,0.020398801,-0.003956305,0.004152464,-0.011631446,0.004074341,0.014814444,-0.00082853,-0.004890668,0.001066477,0.002480945
"33",20140219,0.0092273,-0.006128355,-0.008663809,-0.011601482,-0.003807683,-0.008929861,-0.006967017,-0.005478301,-0.00233352,-0.003954167,-0.001798959
"34",20140220,0.001929761,0.008414863,0.004313127,0.005592791,-0.001887008,0.008045779,0.001138985,0.00018885,0.004894747,0.004891772,-0.000815334
"35",20140221,-0.003509222,0.001109026,-0.000398958,0.004470975,-0.00224944,-0.0037647,-0.001435271,-0.004393685,-1.01675e-05,-0.000377479,-0.000731577
