Date,Communication,Consumer_dis,Consumer_staple,Energy,Materials,Utilities,Real_estate,IT,Industrials,Healthcare,Financials
1/3/07,50.603176,51.945473,48.040535,63.823475,55.175537,50.29723,45.137367,46.781811,53.1516,47.128475,50.588947
1/4/07,50.444935,52.133057,48.137863,62.512016,54.89323,50.264603,45.195889,47.635132,53.103062,47.649837,50.565784
1/5/07,49.72253,51.655563,47.726109,62.988224,54.407032,49.318317,44.358948,47.270695,52.674294,47.426392,50.05629
1/8/07,49.990864,51.689667,47.883324,63.027237,54.485462,49.168213,44.423313,47.33292,52.83609,47.484314,50.24926
1/9/07,49.708778,51.953995,47.890808,62.355927,54.352154,49.292217,44.985184,47.590694,52.989807,47.385006,50.164364
1/10/07,49.928928,52.363285,48.205238,61.481606,54.697189,49.41621,45.564629,47.89291,53.030262,47.509144,50.334194
1/11/07,50.658222,53.036903,48.542122,60.989838,55.402954,49.409679,46.155762,48.301788,53.604649,48.005669,50.689312
1/12/07,50.892143,53.181858,48.519676,62.558865,56.140099,49.161678,46.302094,48.54179,53.774536,48.311863,50.78194
1/16/07,50.816475,53.326817,48.609516,61.910942,56.163624,49.226959,46.957623,48.381783,54.146675,48.419437,50.866871
1/17/07,50.424301,53.267124,48.572075,62.574478,56.320469,49.246529,46.94006,47.768467,54.017235,48.642868,50.720184
1/18/07,50.733913,53.531456,48.609516,62.098309,56.053833,49.135571,46.881535,46.870689,53.814987,48.758736,50.581226
1/19/07,50.892143,53.531456,48.721806,63.675156,56.775276,49.377056,47.349758,46.888474,53.782627,48.858032,50.697033
1/22/07,50.782055,53.233013,48.564587,63.472191,56.25774,49.337875,46.951752,46.488476,53.192051,48.543575,50.604393
1/23/07,51.084797,53.343876,48.676884,64.970978,56.963493,49.527145,47.174171,46.435143,53.766445,48.361504,50.635281
1/24/07,52.288815,53.642311,48.864052,65.361282,57.684956,49.859985,47.788731,47.288471,53.831181,48.742176,51.083042
1/25/07,51.896645,52.798145,48.482246,64.06546,57.402645,49.598946,48.08136,46.861801,53.337681,48.452526,51.808716
1/26/07,51.99984,52.661728,48.542122,64.221573,57.496738,49.729462,48.239384,46.959591,53.192051,48.204273,50.596672
1/29/07,52.006729,52.772572,48.602028,63.963989,57.394806,49.742519,48.397411,46.959591,53.321499,48.229103,50.457714
1/30/07,52.5709,52.874893,48.631969,65.298836,57.645741,49.892605,48.637394,47.208466,53.418575,48.452526,50.697033
1/31/07,52.83923,53.480301,48.841583,65.634499,58.327969,50.088398,49.023678,47.412914,54.098137,48.68425,51.067593
2/1/07,52.749783,53.69347,49.185966,66.313637,58.814178,50.551754,49.216827,47.421803,54.777706,49.089745,51.291473
2/2/07,52.901138,53.821381,49.118599,66.500992,58.743599,50.780178,49.304615,47.47514,54.923325,49.015266,51.507622
2/5/07,52.722263,53.804317,48.968868,66.243385,58.453449,51.197861,49.304615,47.492908,54.858601,49.006989,51.368679
2/6/07,52.715385,53.855488,48.961365,66.165329,58.814178,51.582909,50.030384,47.412914,54.939503,48.858032,51.723782
2/7/07,52.887375,54.12833,48.901478,65.782829,58.869072,51.700348,51.078026,47.812908,54.882866,48.965611,52.009422
2/8/07,52.901138,54.043068,48.751755,66.571274,58.814178,51.909206,50.685894,47.786243,54.640175,49.031818,51.677471
2/9/07,52.33009,53.522942,48.624485,66.141907,58.64949,51.902687,50.100605,47.297348,54.276112,48.758736,51.21426
2/12/07,51.944801,53.207447,48.64695,65.291031,58.688702,51.843948,49.193413,47.084023,54.348927,48.651154,51.036697
2/13/07,52.536495,53.659359,48.908978,66.188751,59.951252,52.281197,50.147434,47.190685,54.704899,48.791832,51.523075
2/14/07,52.887375,53.974857,49.066189,66.407318,60.225742,52.424774,49.790401,47.901787,55.489632,48.998714,51.885906
2/15/07,53.004349,54.14539,49.320709,65.696953,60.594284,52.228973,50.159149,48.070679,55.570522,49.197334,51.901356
2/16/07,53.093792,54.179497,49.418041,65.681358,60.735439,52.189838,50.030384,47.999569,55.505814,49.114571,51.939945
2/20/07,53.183228,54.588779,49.650108,65.181755,61.127529,52.43782,50.416649,48.204014,55.772774,49.164223,52.186962
2/21/07,53.265785,54.537624,49.485413,65.806252,61.80978,52.274673,50.252781,48.088451,55.829411,49.031818,52.017159
2/22/07,53.355225,54.35004,49.305748,66.625893,61.519638,52.320366,49.983551,48.372906,55.627155,48.882862,51.901356
2/23/07,53.210739,54.264767,49.163506,66.742989,61.637268,52.835926,49.111481,48.266235,55.546272,48.75045,51.376377
2/26/07,53.465309,53.846947,49.23838,67.281624,62.060726,53.919281,48.865635,48.079578,55.271206,48.849758,50.998108
2/27/07,51.476963,52.01368,47.733589,64.713371,59.339596,52.405209,47.349758,46.25737,53.450932,47.484314,49.423233
2/28/07,52.109928,52.243904,48.137863,64.721184,59.817951,52.411736,47.700932,46.364037,53.814987,47.699478,49.585361
3/1/07,51.958576,51.98811,48.115398,64.682152,59.363106,52.627083,47.220978,46.150696,53.564201,47.434662,49.446396
3/2/07,51.270554,51.48502,47.576382,63.558056,58.382862,51.811329,46.471817,45.501827,52.989807,46.979523,48.960026
